Woonplaatscode,Woonplaats,Gemeentecode,Gemeente,COROP-gebiedcode,COROP-gebied
WP1000,Hoogerheide,GM0873,Woensdrecht,CR33,West-Noord-Brabant
WP1001,Huijbergen,GM0873,Woensdrecht,CR33,West-Noord-Brabant
WP1002,Ossendrecht,GM0873,Woensdrecht,CR33,West-Noord-Brabant
WP1003,Putte,GM0873,Woensdrecht,CR33,West-Noord-Brabant
WP1004,Woensdrecht,GM0873,Woensdrecht,CR33,West-Noord-Brabant
WP1005,Gouda,GM0513,Gouda,CR28,Oost-Zuid-Holland
WP1006,Waalre,GM0866,Waalre,CR36,Zuidoost-Noord-Brabant
WP1007,Middelburg,GM0687,Middelburg (Z.),CR32,Overig Zeeland
WP1008,Arnemuiden,GM0687,Middelburg (Z.),CR32,Overig Zeeland
WP1009,Nieuw- en Sint Joosland,GM0687,Middelburg (Z.),CR32,Overig Zeeland
WP1010,Etten-Leur,GM0777,Etten-Leur,CR33,West-Noord-Brabant
WP1011,Huizen,GM0406,Huizen,CR24,Het Gooi en Vechtstreek
WP1013,Soest,GM0342,Soest,CR17,Utrecht
WP1014,Soesterberg,GM0342,Soest,CR17,Utrecht
WP1015,Vlaardingen,GM0622,Vlaardingen,CR29,Groot-Rijnmond
WP1016,Nieuwerkerk aan den IJssel,GM1892,Zuidplas,CR29,Groot-Rijnmond
WP1017,Foxhol,GM1952,Midden-Groningen,CR03,Overig Groningen
WP1018,Hoogezand,GM1952,Midden-Groningen,CR03,Overig Groningen
WP1019,Kiel-Windeweer,GM1952,Midden-Groningen,CR03,Overig Groningen
WP1020,Kropswolde,GM1952,Midden-Groningen,CR03,Overig Groningen
WP1021,Sappemeer,GM1952,Midden-Groningen,CR03,Overig Groningen
WP1022,Waterhuizen,GM1952,Midden-Groningen,CR03,Overig Groningen
WP1023,Westerbroek,GM1952,Midden-Groningen,CR03,Overig Groningen
WP1026,America,GM1507,Horst aan de Maas,CR37,Noord-Limburg
WP1027,Broekhuizen,GM1507,Horst aan de Maas,CR37,Noord-Limburg
WP1028,Broekhuizenvorst,GM1507,Horst aan de Maas,CR37,Noord-Limburg
WP1029,Griendtsveen,GM1507,Horst aan de Maas,CR37,Noord-Limburg
WP1030,Grubbenvorst,GM1507,Horst aan de Maas,CR37,Noord-Limburg
WP1031,Hegelsom,GM1507,Horst aan de Maas,CR37,Noord-Limburg
WP1032,Horst,GM1507,Horst aan de Maas,CR37,Noord-Limburg
WP1033,Lottum,GM1507,Horst aan de Maas,CR37,Noord-Limburg
WP1034,Melderslo,GM1507,Horst aan de Maas,CR37,Noord-Limburg
WP1035,Meterik,GM1507,Horst aan de Maas,CR37,Noord-Limburg
WP1036,Hilversum,GM0402,Hilversum,CR24,Het Gooi en Vechtstreek
WP1037,Eemnes,GM0317,Eemnes,CR17,Utrecht
WP1038,Daarle,GM0163,Hellendoorn,CR12,Twente
WP1039,Daarlerveen,GM0163,Hellendoorn,CR12,Twente
WP1040,Haarle,GM0163,Hellendoorn,CR12,Twente
WP1043,Tilburg,GM0855,Tilburg,CR34,Midden-Noord-Brabant
WP1044,Berkel-Enschot,GM0855,Tilburg,CR34,Midden-Noord-Brabant
WP1045,Udenhout,GM0855,Tilburg,CR34,Midden-Noord-Brabant
WP1046,Staphorst,GM0180,Staphorst,CR10,Noord-Overijssel
WP1047,Rouveen,GM0180,Staphorst,CR10,Noord-Overijssel
WP1048,IJhorst,GM0180,Staphorst,CR10,Noord-Overijssel
WP1049,Punthorst,GM0180,Staphorst,CR10,Noord-Overijssel
WP1050,Amstelveen,GM0362,Amstelveen,CR23,Groot-Amsterdam
