Woonplaatscode,Woonplaats,Gemeentecode,Gemeente,COROP-gebiedcode,COROP-gebied
1000,Hoogerheide,0873,Woensdrecht,33,West-Noord-Brabant
1001,Huijbergen,0873,Woensdrecht,33,West-Noord-Brabant
1002,Ossendrecht,0873,Woensdrecht,33,West-Noord-Brabant
1003,Putte,0873,Woensdrecht,33,West-Noord-Brabant
1004,Woensdrecht,0873,Woensdrecht,33,West-Noord-Brabant
1005,Gouda,0513,Gouda,28,Oost-Zuid-Holland
1006,Waalre,0866,Waalre,36,Zuidoost-Noord-Brabant
1007,Middelburg,0687,Middelburg (Z.),32,Overig Zeeland
1008,Arnemuiden,0687,Middelburg (Z.),32,Overig Zeeland
1009,Nieuw- en Sint Joosland,0687,Middelburg (Z.),32,Overig Zeeland
1010,Etten-Leur,0777,Etten-Leur,33,West-Noord-Brabant
1011,Huizen,0406,Huizen,24,Het Gooi en Vechtstreek
1013,Soest,0342,Soest,17,Utrecht
1014,Soesterberg,0342,Soest,17,Utrecht
1015,Vlaardingen,0622,Vlaardingen,29,Groot-Rijnmond
1016,Nieuwerkerk aan den IJssel,1892,Zuidplas,29,Groot-Rijnmond
1017,Foxhol,1952,Midden-Groningen,03,Overig Groningen
1018,Hoogezand,1952,Midden-Groningen,03,Overig Groningen
1019,Kiel-Windeweer,1952,Midden-Groningen,03,Overig Groningen
1020,Kropswolde,1952,Midden-Groningen,03,Overig Groningen
1021,Sappemeer,1952,Midden-Groningen,03,Overig Groningen
1022,Waterhuizen,1952,Midden-Groningen,03,Overig Groningen
1023,Westerbroek,1952,Midden-Groningen,03,Overig Groningen
1026,America,1507,Horst aan de Maas,37,Noord-Limburg
1027,Broekhuizen,1507,Horst aan de Maas,37,Noord-Limburg
1028,Broekhuizenvorst,1507,Horst aan de Maas,37,Noord-Limburg
1029,Griendtsveen,1507,Horst aan de Maas,37,Noord-Limburg
1030,Grubbenvorst,1507,Horst aan de Maas,37,Noord-Limburg
1031,Hegelsom,1507,Horst aan de Maas,37,Noord-Limburg
1032,Horst,1507,Horst aan de Maas,37,Noord-Limburg
1033,Lottum,1507,Horst aan de Maas,37,Noord-Limburg
1034,Melderslo,1507,Horst aan de Maas,37,Noord-Limburg
1035,Meterik,1507,Horst aan de Maas,37,Noord-Limburg
1036,Hilversum,0402,Hilversum,24,Het Gooi en Vechtstreek
1037,Eemnes,0317,Eemnes,17,Utrecht
1038,Daarle,0163,Hellendoorn,12,Twente
1039,Daarlerveen,0163,Hellendoorn,12,Twente
1040,Haarle,0163,Hellendoorn,12,Twente
1043,Tilburg,0855,Tilburg,34,Midden-Noord-Brabant
1044,Berkel-Enschot,0855,Tilburg,34,Midden-Noord-Brabant
1045,Udenhout,0855,Tilburg,34,Midden-Noord-Brabant
1046,Staphorst,0180,Staphorst,10,Noord-Overijssel
1047,Rouveen,0180,Staphorst,10,Noord-Overijssel
1048,IJhorst,0180,Staphorst,10,Noord-Overijssel
1049,Punthorst,0180,Staphorst,10,Noord-Overijssel
1050,Amstelveen,0362,Amstelveen,23,Groot-Amsterdam
1051,Lelystad,0995,Lelystad,40,Flevoland
1052,Naarden,1942,Gooise Meren,24,Het Gooi en Vechtstreek
1053,Andijk,0420,Medemblik,18,Kop van Noord-Holland
1056,Kootwijkerbroek,0203,Barneveld,13,Veluwe
1057,Garderen,0203,Barneveld,13,Veluwe
1059,Stroe,0203,Barneveld,13,Veluwe
1061,De Glind,0203,Barneveld,13,Veluwe
1062,Kootwijk,0203,Barneveld,13,Veluwe
1063,Achterveld,0203,Barneveld,13,Veluwe
1064,Bladel,1728,Bladel,36,Zuidoost-Noord-Brabant
1065,Hapert,1728,Bladel,36,Zuidoost-Noord-Brabant
1066,Hoogeloon,1728,Bladel,36,Zuidoost-Noord-Brabant
1067,Casteren,1728,Bladel,36,Zuidoost-Noord-Brabant
1068,Netersel,1728,Bladel,36,Zuidoost-Noord-Brabant
1069,Maassluis,0556,Maassluis,29,Groot-Rijnmond
1070,Groningen,0014,Groningen,03,Overig Groningen
1071,Woerden,0632,Woerden,17,Utrecht
1072,Harmelen,0632,Woerden,17,Utrecht
1073,Kamerik,0632,Woerden,17,Utrecht
1074,Zegveld,0632,Woerden,17,Utrecht
1075,Zeewolde,0050,Zeewolde,40,Flevoland
1076,Oost-Souburg,0718,Vlissingen,32,Overig Zeeland
1077,Ritthem,0718,Vlissingen,32,Overig Zeeland
1078,Vlissingen,0718,Vlissingen,32,Overig Zeeland
1079,Aarlanderveen,0484,Alphen aan den Rijn,28,Oost-Zuid-Holland
1080,Alphen aan den Rijn,0484,Alphen aan den Rijn,28,Oost-Zuid-Holland
1081,Zwammerdam,0484,Alphen aan den Rijn,28,Oost-Zuid-Holland
1082,Meppel,0119,Meppel,09,Zuidwest-Drenthe
1083,Nijeveen,0119,Meppel,09,Zuidwest-Drenthe
1084,Rogat,0119,Meppel,09,Zuidwest-Drenthe
1085,De Schiphorst,0119,Meppel,09,Zuidwest-Drenthe
1086,Broekhuizen,0119,Meppel,09,Zuidwest-Drenthe
1087,Wierden,0189,Wierden,12,Twente
1088,Enter,0189,Wierden,12,Twente
1089,Hoge Hexel,0189,Wierden,12,Twente
1090,Notter,0189,Wierden,12,Twente
1091,Zuna,0189,Wierden,12,Twente
1092,Baarn,0308,Baarn,17,Utrecht
1093,Lage Vuursche,0308,Baarn,17,Utrecht
1094,Dodewaard,1740,Neder-Betuwe,16,Zuidwest-Gelderland
1096,Kesteren,1740,Neder-Betuwe,16,Zuidwest-Gelderland
1097,Ochten,1740,Neder-Betuwe,16,Zuidwest-Gelderland
1098,Opheusden,1740,Neder-Betuwe,16,Zuidwest-Gelderland
1099,IJzendoorn,1740,Neder-Betuwe,16,Zuidwest-Gelderland
1100,Valkenswaard,0858,Valkenswaard,36,Zuidoost-Noord-Brabant
1101,Eindhoven,0772,Eindhoven,36,Zuidoost-Noord-Brabant
1102,Bovenkarspel,0532,Stede Broec,18,Kop van Noord-Holland
1103,Grootebroek,0532,Stede Broec,18,Kop van Noord-Holland
1104,Lutjebroek,0532,Stede Broec,18,Kop van Noord-Holland
1105,Capelle aan den IJssel,0502,Capelle aan den IJssel,29,Groot-Rijnmond
1107,Zwaagdijk-Oost,0420,Medemblik,18,Kop van Noord-Holland
1108,Nieuwegein,0356,Nieuwegein,17,Utrecht
1109,Empe,0213,Brummen,14,Achterhoek
1110,Tonden,0213,Brummen,14,Achterhoek
1111,Brummen,0213,Brummen,14,Achterhoek
1112,Leuvenheim,0213,Brummen,14,Achterhoek
1113,Hall,0213,Brummen,14,Achterhoek
1114,Eerbeek,0213,Brummen,14,Achterhoek
1115,Sint Pancras,1980,Dijk en Waard,19,Alkmaar en omgeving
1116,Broek op Langedijk,1980,Dijk en Waard,19,Alkmaar en omgeving
1117,Zuid-Scharwoude,1980,Dijk en Waard,19,Alkmaar en omgeving
1118,Noord-Scharwoude,1980,Dijk en Waard,19,Alkmaar en omgeving
1119,Oudkarspel,1980,Dijk en Waard,19,Alkmaar en omgeving
1120,Koedijk,1980,Dijk en Waard,19,Alkmaar en omgeving
1121,Bergen L,0893,Bergen (L.),37,Noord-Limburg
1122,Afferden L,0893,Bergen (L.),37,Noord-Limburg
1123,Siebengewald,0893,Bergen (L.),37,Noord-Limburg
1124,Well L,0893,Bergen (L.),37,Noord-Limburg
1125,Wellerlooi,0893,Bergen (L.),37,Noord-Limburg
1126,Geldrop,1771,Geldrop-Mierlo,36,Zuidoost-Noord-Brabant
1127,Mierlo,1771,Geldrop-Mierlo,36,Zuidoost-Noord-Brabant
1128,Axel,0715,Terneuzen,31,Zeeuwsch-Vlaanderen
1129,Biervliet,0715,Terneuzen,31,Zeeuwsch-Vlaanderen
1130,Hoek,0715,Terneuzen,31,Zeeuwsch-Vlaanderen
1131,Koewacht,0715,Terneuzen,31,Zeeuwsch-Vlaanderen
1132,Overslag,0715,Terneuzen,31,Zeeuwsch-Vlaanderen
1133,Philippine,0715,Terneuzen,31,Zeeuwsch-Vlaanderen
1134,Sas van Gent,0715,Terneuzen,31,Zeeuwsch-Vlaanderen
1135,Sluiskil,0715,Terneuzen,31,Zeeuwsch-Vlaanderen
1136,Spui,0715,Terneuzen,31,Zeeuwsch-Vlaanderen
1137,Terneuzen,0715,Terneuzen,31,Zeeuwsch-Vlaanderen
1138,Westdorpe,0715,Terneuzen,31,Zeeuwsch-Vlaanderen
1139,Zaamslag,0715,Terneuzen,31,Zeeuwsch-Vlaanderen
1140,Zuiddorpe,0715,Terneuzen,31,Zeeuwsch-Vlaanderen
1141,Pijnacker,1926,Pijnacker-Nootdorp,26,Agglomeratie 's-Gravenhage
1142,Nootdorp,1926,Pijnacker-Nootdorp,26,Agglomeratie 's-Gravenhage
1143,Delfgauw,1926,Pijnacker-Nootdorp,26,Agglomeratie 's-Gravenhage
1144,Krimpen aan den IJssel,0542,Krimpen aan den IJssel,29,Groot-Rijnmond
1145,Enschede,0153,Enschede,12,Twente
1146,Helmond,0794,Helmond,36,Zuidoost-Noord-Brabant
