COROP-gebiedcode,COROP-gebied,Gemiddelde WOZ-waarde per m2
CR33,West-Noord-Brabant,2732
CR28,Oost-Zuid-Holland,3144
CR36,Zuidoost-Noord-Brabant,2866
CR32,Overig Zeeland,2312
CR24,Het Gooi en Vechtstreek,4383
CR17,Utrecht,3930
CR29,Groot-Rijnmond,3255
CR03,Overig Groningen,2264
CR37,Noord-Limburg,2164
CR12,Twente,2446
CR34,Midden-Noord-Brabant,2786
CR10,Noord-Overijssel,2485
CR23,Groot-Amsterdam,5596
CR40,Flevoland,2806
CR18,Kop van Noord-Holland,2578
CR13,Veluwe,3176
CR09,Zuidwest-Drenthe,2180
CR16,Zuidwest-Gelderland,2732
CR14,Achterhoek,2319
CR19,Alkmaar en omgeving,3447
CR31,Zeeuwsch-Vlaanderen,1977
CR26,Agglomeratie 's-Gravenhage,3703
CR07,Noord-Drenthe,2252
CR04,Noord-Friesland,1889
CR35,Noordoost-Noord-Brabant,2813
CR39,Zuid-Limburg,2054
CR01,Oost-Groningen,1739
CR15,Arnhem/Nijmegen,2893
CR21,Agglomeratie Haarlem,4936
CR11,Zuidwest-Overijssel,2712
CR30,Zuidoost-Zuid-Holland,2910
CR25,Agglomeratie Leiden en Bollenstreek,3936
CR05,Zuidwest-Friesland,1993
CR06,Zuidoost-Friesland,2173
CR08,Zuidoost-Drenthe,1883
CR22,Zaanstreek,3577
CR38,Midden-Limburg,2121
CR27,Delft en Westland,3533
CR20,IJmond,3688
CR02,Delfzijl en omgeving,1511
